index,id,datetime,text,user_name,sentiment,rwt_retweet_count,markersize_1,markersize_2,markersize_3,markersize_4,single_tweet_history_flag,color_1,color_2,color_3,color_4,keyword_tweet_idx,callout_1_flag,callout_1_text,callout_2_flag,callout_2_text,callout_3_flag,callout_3_text,callout_4_flag,callout_4_text
2811,788117845674778624,2016-10-17 20:41:51,RT @BBCBreaking: Eight men guilty of 16 charges over sexual exploitation of three girls in Rotherham between 1999 and 2003 https://t.co/xRK…,julie smithers,-0.44902,483.0,3.0,8.69724082475,8.69724082475,8.69724082475,True,0,1,0,0,False,0,,0,,0,,0,
2812,788117891661045761,2016-10-17 20:42:02,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,Louis,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2813,788117899860815872,2016-10-17 20:42:04,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,Epicurist,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2814,788117967984820224,2016-10-17 20:42:20,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,James Mills,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2815,788117983134617602,2016-10-17 20:42:24,RT @PA: Eight men convicted of sexually exploiting girls in Rotherham https://t.co/QGjTG9IJc6 by @AmyMurphyPA https://t.co/xTtv6KShDm,MikeWelbeck,-0.644563,104.0,3.0,2.0,5.08114593902,5.08114593902,False,0,0,0,0,False,0,,0,,0,,0,
2816,788118014549958656,2016-10-17 20:42:31,RT @SarahChampionMP: Due to bravery &amp; determination of #Rotherham survivors 8 men were found guilty of child sexual exploitation today http…,Rachel Maloney,-0.377565,48.0,3.0,2.0,3.87645219972,3.87645219972,False,0,0,0,0,False,0,,0,,0,,0,
2817,788118017465090048,2016-10-17 20:42:32,RT @andreassoridis: @Ironwand Eight members of 'openly racist' violent Muslim sex gang raped girls https://t.co/NWZooInG8M    #Rapejihad,Chris S,-0.840479,11.0,3.0,2.0,2.31466124292,2.31466124292,False,0,0,0,3,True,0,,0,,0,,0,
2818,788118114806407168,2016-10-17 20:42:55,RT @SarahChampionMP: Due to bravery &amp; determination of #Rotherham survivors 8 men were found guilty of child sexual exploitation today http…,roger the dodger,-0.377565,48.0,3.0,2.0,3.87645219972,3.87645219972,False,0,0,0,0,False,0,,0,,0,,0,
2819,788118158469132289,2016-10-17 20:43:06,"RT @virgehall: Actual racism. We have no advocacy groups &amp; ""anti-racist"" ones don't care as they only exist to keep us in our place
https:/…",Mr Squeaky Clean,-0.455276,50.0,3.0,2.0,3.93223533573,3.93223533573,False,0,0,0,0,False,0,,0,,0,,0,
2820,788118230997098503,2016-10-17 20:43:23,"RT @PhoenixSalford: This is why we need to keep raising #CSE awareness
#Rotherham child abuse charges: 8 guilty https://t.co/vAp3Rac1go
@Re…",Rob  Wilson,-0.67408,46.0,3.0,2.0,3.81913703019,3.81913703019,False,0,0,0,0,False,0,,0,,0,,0,
