index,id,datetime,sentiment,rwt_retweet_count,markersize_1,markersize_2,markersize_3,text,user_name,single_tweet_history_flag,color_1,color_2,color_3,markersize_4,keyword_tweet_idx,color_4,callout_1_flag,callout_1_text,callout_3_flag,callout_3_text,callout_4_flag,callout_4_text,callout_2_flag,callout_2_text
1620,788066659156103168,2016-10-17 17:18:27,-0.648789,24.0,3,2.0,3.04140275216,"RT @PhoenixSalford: Eight gang members guilty of sexually exploiting teenage girls in #Rotherham  https://t.co/V8GM6APBex
@NotOkayGM @Respe…",Compassionate Action,False,0,0,0,3.04140275216,False,0,0,,0,,0,,0,
1621,788066684712194048,2016-10-17 17:18:33,-0.684175,94.0,3,2.0,4.90450011169,RT @TRobinsonNewEra: Eight men convicted of sexually exploiting young girls in Rotherham https://t.co/Lz2f8rdOpZ,Diana Aulicino,False,0,0,0,4.90450011169,False,0,0,,0,,0,,0,
1622,788066712117739520,2016-10-17 17:18:40,-0.80425,101.0,3,2.0,5.02935719089,"RT @DavidJo52951945: The UK has a muslim abuse gang problem with muslims constantly targeting underage girls,Rotherham tip of the iceberg h…",Deano Franco,False,0,0,0,5.02935719089,True,3,0,,0,,0,,0,
1623,788066715099885569,2016-10-17 17:18:41,-0.253341,18.0,3,2.0,2.75008031103,RT @StandUpWhiteMan: UK : 'All white girls are good for is sex. They're just sl*gs'. 'Openly racist' violent Muslim sex gang raped girls ht…,Deano Franco,False,0,0,0,2.75008031103,True,3,0,,0,,0,,0,
1624,788066748847226880,2016-10-17 17:18:49,-0.847936,291.0,3,2.0,22.653804274,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,TheSlavPill,False,0,0,2,22.653804274,True,4,0,,0,,0,,0,
1625,788066751372201988,2016-10-17 17:18:49,-0.674322,6.0,3,2.0,1.87220300352,"RT @marian_maio: Rotherham abuse scandal: Child grooming still happening on industrial scale, victims say | #UK |Daily Express https://t.co…",Liz  Shervill,False,0,0,0,1.87220300352,False,0,0,,0,,0,,0,
1626,788066754396233728,2016-10-17 17:18:50,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Maria,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1627,788066762776580097,2016-10-17 17:18:52,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Rob Noone,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1628,788066772566114304,2016-10-17 17:18:54,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Samantha 52%,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1629,788066776093487104,2016-10-17 17:18:55,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Lisa Greenway,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1630,788066782628110336,2016-10-17 17:18:57,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Carla paul,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1631,788066790807142400,2016-10-17 17:18:59,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,aurora boreal ي ن,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1632,788066794858831872,2016-10-17 17:19:00,-0.699984,6.0,3,2.0,1.87220300352,RT @gavthebrexit: Rotherham sex abuse scandal: EIGHT men found GUILTY of being in child sex ring  &gt;TIP OF THE ICEBERG ?? &gt;&gt;https://t.co/OFj…,Northern Patriot,False,0,0,0,1.87220300352,False,0,0,,0,,0,,0,
1633,788066801305387009,2016-10-17 17:19:01,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,StopUKIslamisation,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1634,788066814383169536,2016-10-17 17:19:04,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Sabel,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1635,788066825787629568,2016-10-17 17:19:07,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Your Future ladies!,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1636,788066827050053632,2016-10-17 17:19:07,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,PolskiLwow,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1637,788066829700923392,2016-10-17 17:19:08,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Persil,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1638,788066851540570112,2016-10-17 17:19:13,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Pave Darker☻☹☻,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1639,788066849195982848,2016-10-17 17:19:13,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Beryl Jones,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1640,788066870469337092,2016-10-17 17:19:18,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Daniela U.,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1641,788066893160673280,2016-10-17 17:19:23,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Giuseppe Mastropaolo,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1642,788066900941176832,2016-10-17 17:19:25,-0.322615,31.0,3,2.0,3.32641624434,"RT @LadyDurrant: Violent gang members were opening racist: 'All white girls are good for is sex. They're just sl*gs': #Rotherham 
https://t…",Bengt Karlsson,False,0,0,0,3.32641624434,False,0,0,,0,,0,,0,
1643,788066906909442048,2016-10-17 17:19:26,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Norma Olivia Abrego,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1644,788066929328128000,2016-10-17 17:19:32,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Mat,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1645,788066932163547136,2016-10-17 17:19:32,-0.471793,2.0,3,2.0,1.27456062732,"RT @Patriot_Infidel: https://t.co/BFjyMPAPaW
Spot the difference. It's a hard one I know.

#islamistheproblem",Mrs H,False,0,0,0,1.27456062732,True,3,0,,0,,0,,0,
1646,788066986152513537,2016-10-17 17:19:45,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,AndTriumphToo,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1647,788067000153022464,2016-10-17 17:19:49,-0.714829,1.0,3,2.0,1.0,RT @Methusalada74: Rotherham: eight men convicted of sexually exploiting teenage girls https://t.co/HeTqWpe6L7,Victor Martin Hunt,False,0,0,2,1.0,False,2,0,,0,,0,,0,
1648,788067007728128000,2016-10-17 17:19:50,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,[nTx]vdcrx,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1649,788067008948473856,2016-10-17 17:19:51,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Trump 2016,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1650,788067010445971456,2016-10-17 17:19:51,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Ted,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1651,788067015139426304,2016-10-17 17:19:52,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,TheAntiVerse,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1652,788067012626878465,2016-10-17 17:19:52,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,robert w. piper jr.,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1653,788067036048060416,2016-10-17 17:19:57,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Esteban,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1654,788067079035445248,2016-10-17 17:20:07,-0.699984,6.0,3,2.0,1.87220300352,RT @gavthebrexit: Rotherham sex abuse scandal: EIGHT men found GUILTY of being in child sex ring  &gt;TIP OF THE ICEBERG ?? &gt;&gt;https://t.co/OFj…,Beryl Jones,False,0,0,0,1.87220300352,False,0,0,,0,,0,,0,
1655,788067082759962625,2016-10-17 17:20:08,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,a.o.,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1656,788067109553238016,2016-10-17 17:20:15,-0.642009,3.0,3,2.0,1.82985505494,"RT @CrypticPsypher: Rotherham: eight men convicted of sexually exploiting teenage girls - https://t.co/1EcNbQ3uxY 

Still 100s to go",Cuthbert Collingwood,False,0,0,2,1.82985505494,False,2,0,,0,,0,,0,
1657,788067111226658816,2016-10-17 17:20:15,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,Deplorable JEG,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
1658,788067136816250880,2016-10-17 17:20:21,-0.648789,2.0,3,2.0,1.46408569595,RT @BENEFITS_NEWS: Eight gang members guilty of sexually exploiting teenage girls in Rotherham https://t.co/kQsSf8eGqW,'Oor' Axel Foley,False,0,0,2,1.46408569595,False,2,0,,0,,0,,0,
1659,788067163739451392,2016-10-17 17:20:28,-0.67408,46.0,3,2.0,3.81913703019,"RT @PhoenixSalford: This is why we need to keep raising #CSE awareness
#Rotherham child abuse charges: 8 guilty https://t.co/vAp3Rac1go
@Re…",alice marie downey,False,0,0,0,3.81913703019,False,0,0,,0,,0,,0,
1660,788067190092226560,2016-10-17 17:20:34,-0.847936,291.0,3,2.0,7.28387603935,RT @V_of_Europe: UK- 'All white girls are good for is sex': 8 members of Muslim sex gang raped and sexually degraded 3 teenage girls https:…,shelly,False,0,0,0,7.28387603935,True,3,0,,0,,0,,0,
